GAME_ID,GAME_DATE,TEAM_away,TEAM_home,TEAM_ID_away,TEAM_ID_home,FGM_away,FGM_home,FGA_away,FGA_home,FG_PCT_away,FG_PCT_home,FG3_PCT_away,FG3_PCT_home,FTM_away,FTM_home,FTA_away,FTA_home,FT_PCT_away,FT_PCT_home,OREB_away,OREB_home,DREB_away,DREB_home,REB_away,REB_home,AST_away,AST_home,STL_away,STL_home,BLK_away,BLK_home,TOV_away,TOV_home,PF_away,PF_home,PTS_away,PTS_home,WIN_home
21201219,2013-04-17,CLE,CHA,1610612739,1610612766,39,37,80,73,0.488,0.507,0.348,0.4,12,23,18,30,0.667,0.767,4,7,31,33,35,40,24,28,9,8,3,4,12,15,24,14,98,105,1
21201223,2013-04-17,UTA,MEM,1610612762,1610612763,25,34,78,84,0.321,0.405,0.273,0.308,17,14,26,20,0.654,0.7,17,19,30,38,47,57,15,22,6,7,6,8,14,11,18,24,70,86,1
21201226,2013-04-17,MIL,OKC,1610612749,1610612760,36,37,85,89,0.424,0.416,0.37,0.143,13,12,18,14,0.722,0.857,17,13,36,31,53,44,18,16,5,8,3,2,12,8,11,14,95,89,0
21201216,2013-04-17,BOS,TOR,1610612738,1610612761,37,40,84,80,0.44,0.5,0.412,0.571,9,22,13,28,0.692,0.786,9,9,29,37,38,46,19,26,7,5,2,5,13,11,22,14,90,114,1
21201227,2013-04-17,PHX,DEN,1610612756,1610612743,40,49,104,93,0.385,0.527,0.28,0.25,11,16,17,20,0.647,0.8,20,15,27,39,47,54,29,28,8,8,5,8,13,16,18,13,98,118,1
21201229,2013-04-17,LAC,SAC,1610612746,1610612758,44,40,88,89,0.5,0.449,0.5,0.346,12,19,18,25,0.667,0.76,11,12,33,32,44,44,25,23,5,5,3,4,13,11,20,20,112,108,0
21201224,2013-04-17,NOH,DAL,1610612740,1610612742,31,42,84,82,0.369,0.512,0.364,0.375,21,9,28,11,0.75,0.818,25,7,33,30,58,37,11,24,5,12,3,5,21,11,17,23,87,99,1
21201221,2013-04-17,PHI,IND,1610612755,1610612754,43,36,85,80,0.506,0.45,0.421,0.231,11,17,14,27,0.786,0.63,10,13,32,29,42,42,16,17,9,8,6,4,16,16,23,14,105,95,0
21201230,2013-04-17,GSW,POR,1610612744,1610612757,40,35,93,82,0.43,0.427,0.429,0.5,10,12,13,14,0.769,0.857,14,6,38,36,52,42,21,18,7,2,3,5,12,14,17,13,99,88,0
21201220,2013-04-17,ORL,MIA,1610612753,1610612748,40,42,77,78,0.519,0.538,0.143,0.414,11,9,25,19,0.44,0.474,8,6,33,28,41,34,23,31,5,7,1,12,15,12,22,18,93,105,1
21201217,2013-04-17,DET,BKN,1610612765,1610612751,37,39,78,81,0.474,0.481,0.077,0.333,24,17,32,23,0.75,0.739,10,11,29,27,39,38,17,28,17,13,5,3,24,24,24,24,99,103,1
21201218,2013-04-17,ATL,NYK,1610612737,1610612752,37,39,90,91,0.411,0.429,0.095,0.375,16,11,17,16,0.941,0.688,15,16,38,34,53,50,14,21,7,8,2,3,13,12,15,16,92,98,1
21201222,2013-04-17,WAS,CHI,1610612764,1610612741,36,37,85,78,0.424,0.474,0.438,0.389,13,14,17,19,0.765,0.737,7,12,30,33,37,45,17,26,7,5,5,2,9,15,17,22,92,95,1
21201228,2013-04-17,HOU,LAL,1610612745,1610612747,35,33,84,90,0.417,0.367,0.242,0.313,17,23,24,34,0.708,0.676,9,17,37,40,46,57,21,27,6,6,5,6,14,13,28,17,95,99,1
21201225,2013-04-17,MIN,SAS,1610612750,1610612759,42,33,91,79,0.462,0.418,0.414,0.389,12,22,16,22,0.75,1.0,8,4,37,36,45,40,26,20,11,5,2,2,12,18,17,22,108,95,0
21201213,2013-04-16,TOR,ATL,1610612761,1610612737,40,35,78,88,0.513,0.398,0.37,0.321,23,17,27,23,0.852,0.739,10,14,37,28,47,42,24,22,7,8,10,1,18,11,20,19,113,96,0
21201215,2013-04-16,POR,LAC,1610612757,1610612746,30,37,73,79,0.411,0.468,0.333,0.259,10,12,15,15,0.667,0.8,5,14,28,37,33,51,18,30,6,10,0,4,14,16,16,12,77,93,1
21201202,2013-04-15,NYK,CHA,1610612752,1610612766,34,43,79,74,0.43,0.581,0.378,0.389,13,13,13,14,1.0,0.929,3,4,22,33,25,37,27,35,5,4,1,6,9,11,15,15,95,106,1
21201209,2013-04-15,SAC,OKC,1610612758,1610612760,38,42,87,92,0.437,0.457,0.259,0.217,12,15,21,20,0.571,0.75,12,17,33,32,45,49,19,23,8,10,0,6,15,11,15,18,95,104,1
21201210,2013-04-15,UTA,MIN,1610612762,1610612750,36,32,77,75,0.468,0.427,0.3,0.118,21,14,23,18,0.913,0.778,3,3,38,35,41,38,21,21,11,7,2,3,10,12,18,18,96,80,0
21201208,2013-04-15,MEM,DAL,1610612763,1610612742,38,34,80,76,0.475,0.447,0.333,0.474,20,20,25,25,0.8,0.8,16,8,34,28,50,36,24,18,10,7,3,3,17,15,22,22,103,97,0
21201207,2013-04-15,DEN,MIL,1610612743,1610612749,37,42,85,100,0.435,0.42,0.429,0.343,32,15,46,23,0.696,0.652,18,18,40,26,58,44,21,25,5,10,5,6,17,12,24,24,112,111,0
21201206,2013-04-15,PHI,DET,1610612755,1610612765,39,41,87,83,0.448,0.494,0.273,0.36,17,18,21,22,0.81,0.818,13,12,26,31,39,43,25,23,10,7,5,3,13,14,15,21,101,109,1
21201204,2013-04-15,MIA,CLE,1610612748,1610612739,33,39,66,86,0.5,0.453,0.464,0.385,17,12,27,19,0.63,0.632,10,13,35,25,45,38,25,20,2,8,8,5,18,6,19,22,96,95,0
21201203,2013-04-15,CHI,ORL,1610612741,1610612753,42,31,75,74,0.56,0.419,0.529,0.2,9,20,13,33,0.692,0.606,8,15,27,24,35,39,33,16,6,8,4,6,16,17,25,14,102,84,0
21201205,2013-04-15,WAS,BKN,1610612764,1610612751,41,43,77,92,0.532,0.467,0.364,0.467,15,13,20,27,0.75,0.481,11,20,33,25,44,45,24,12,8,13,6,2,20,14,23,18,101,106,1
21201211,2013-04-15,HOU,PHX,1610612745,1610612756,43,47,92,95,0.467,0.495,0.379,0.304,15,18,23,23,0.652,0.783,8,11,35,33,43,44,21,29,5,11,11,9,16,11,21,19,112,119,1
21201212,2013-04-15,SAS,GSW,1610612759,1610612744,45,46,98,85,0.459,0.541,0.333,0.45,8,15,13,18,0.615,0.833,10,9,29,44,39,53,30,26,13,9,1,7,15,21,18,17,106,116,1
21201195,2013-04-14,BKN,TOR,1610612751,1610612761,34,36,84,82,0.405,0.439,0.267,0.4,11,15,19,21,0.579,0.714,10,10,28,38,38,48,23,19,8,4,5,1,7,13,20,19,87,93,1
21201199,2013-04-14,DAL,NOH,1610612742,1610612740,45,33,86,87,0.523,0.379,0.429,0.409,8,14,8,18,1.0,0.778,9,20,32,27,41,47,27,22,6,4,6,2,9,11,16,12,107,89,0
21201198,2013-04-14,POR,DEN,1610612757,1610612743,38,43,82,81,0.463,0.531,0.375,0.364,21,24,26,27,0.808,0.889,12,9,25,30,37,39,26,30,5,15,3,7,23,21,21,22,109,118,1
21201194,2013-04-14,CHI,MIA,1610612741,1610612748,29,36,82,70,0.354,0.514,0.423,0.353,24,27,31,41,0.774,0.659,11,4,34,40,45,44,16,23,7,7,1,8,14,15,30,27,93,105,1
21201200,2013-04-14,SAC,HOU,1610612758,1610612745,39,45,100,83,0.39,0.542,0.32,0.481,14,18,17,24,0.824,0.75,15,6,30,40,45,46,24,28,10,11,10,12,15,17,21,17,100,121,1
21201196,2013-04-14,IND,NYK,1610612754,1610612752,28,35,65,82,0.431,0.427,0.286,0.355,16,9,26,11,0.615,0.818,13,8,32,24,45,32,20,15,6,11,3,2,26,12,19,24,80,90,1
21201201,2013-04-14,SAS,LAL,1610612759,1610612747,33,31,89,85,0.371,0.365,0.333,0.333,14,20,19,31,0.737,0.645,10,16,36,42,46,58,25,18,11,6,8,7,9,14,23,14,86,91,1
21201197,2013-04-14,CLE,PHI,1610612739,1610612755,31,38,85,86,0.365,0.442,0.313,0.381,10,7,15,11,0.667,0.636,13,10,36,29,49,39,22,27,5,9,6,9,19,12,12,12,77,91,1
21201190,2013-04-13,MIL,CHA,1610612749,1610612766,34,37,87,80,0.391,0.463,0.31,0.444,8,17,12,24,0.667,0.708,9,11,27,41,36,52,23,23,6,6,3,5,12,16,20,18,85,95,1
21201192,2013-04-13,LAC,MEM,1610612746,1610612763,37,34,80,83,0.463,0.41,0.375,0.462,11,13,18,20,0.611,0.65,12,12,33,31,45,43,18,19,9,6,8,5,8,11,20,20,91,87,0
21201193,2013-04-13,PHX,MIN,1610612756,1610612750,37,41,73,83,0.507,0.494,0.45,0.4,10,17,14,19,0.714,0.895,5,11,29,25,34,36,28,19,10,17,3,6,28,18,22,14,93,105,1
21201191,2013-04-13,BOS,ORL,1610612738,1610612753,48,35,81,83,0.593,0.422,0.625,0.357,14,13,19,15,0.737,0.867,7,12,31,28,38,40,27,23,10,5,4,4,13,20,15,16,120,88,0
21201176,2013-04-12,CHI,TOR,1610612741,1610612761,34,34,77,72,0.442,0.472,0.5,0.25,11,27,14,33,0.786,0.818,10,11,29,27,39,38,22,22,6,10,1,7,18,15,24,13,88,97,1
21201177,2013-04-12,PHI,WAS,1610612755,1610612764,40,36,93,87,0.43,0.414,0.318,0.077,10,13,11,21,0.909,0.619,11,13,36,34,47,47,29,21,11,7,3,7,13,17,13,13,97,86,0
21201183,2013-04-12,LAC,NOH,1610612746,1610612740,35,35,78,83,0.449,0.422,0.269,0.316,19,17,28,32,0.679,0.531,10,19,31,29,41,48,28,21,6,3,5,1,13,13,24,23,96,93,0
21201185,2013-04-12,DEN,DAL,1610612743,1610612742,41,43,93,95,0.441,0.453,0.333,0.478,15,11,21,19,0.714,0.579,13,15,33,37,46,52,22,29,14,7,4,9,20,21,18,16,105,108,1
21201179,2013-04-12,MIL,ATL,1610612749,1610612737,38,43,92,85,0.413,0.506,0.515,0.3,11,17,16,25,0.688,0.68,13,8,35,38,48,46,27,26,14,14,4,5,19,17,19,13,104,109,1
21201178,2013-04-12,BKN,IND,1610612751,1610612754,42,40,82,80,0.512,0.5,0.48,0.421,21,21,26,26,0.808,0.808,12,12,27,23,39,35,24,25,8,9,6,7,14,16,24,24,117,109,0
21201187,2013-04-12,MIN,UTA,1610612750,1610612762,36,42,78,72,0.462,0.583,0.364,0.615,20,15,21,17,0.952,0.882,9,6,22,30,31,36,21,23,10,8,3,4,11,18,18,19,100,107,1
21201188,2013-04-12,OKC,POR,1610612760,1610612757,40,36,77,88,0.519,0.409,0.409,0.3,17,12,21,18,0.81,0.667,7,10,33,26,40,36,16,20,8,4,9,1,14,11,17,15,106,90,0
21201181,2013-04-12,CHA,DET,1610612766,1610612765,35,43,78,83,0.449,0.518,0.375,0.667,14,15,17,20,0.824,0.75,9,15,24,30,33,45,18,31,10,10,5,3,24,22,17,20,93,113,1
21201180,2013-04-12,BOS,MIA,1610612738,1610612748,41,39,85,71,0.482,0.549,0.261,0.522,13,19,13,28,1.0,0.679,9,5,25,32,34,37,15,28,9,6,1,5,13,17,18,14,101,109,1
21201182,2013-04-12,NYK,CLE,1610612752,1610612739,40,34,79,79,0.506,0.43,0.357,0.273,11,17,17,24,0.647,0.708,11,16,33,30,44,46,15,17,11,7,5,2,15,14,21,16,101,91,0
21201184,2013-04-12,MEM,HOU,1610612763,1610612745,29,23,83,74,0.349,0.311,0.294,0.344,19,21,28,28,0.679,0.75,12,15,32,36,44,51,18,18,10,4,8,7,7,20,22,26,82,78,0
21201189,2013-04-12,GSW,LAL,1610612744,1610612747,46,34,97,66,0.474,0.515,0.423,0.48,13,38,16,50,0.813,0.76,15,3,29,33,44,36,25,22,7,2,4,2,8,12,33,17,116,118,1
21201186,2013-04-12,SAC,SAS,1610612758,1610612759,39,42,89,77,0.438,0.545,0.55,0.353,12,18,15,21,0.8,0.857,9,4,25,37,34,41,26,28,13,7,4,12,14,18,16,14,101,108,1
21201174,2013-04-11,NYK,CHI,1610612752,1610612741,42,39,104,87,0.404,0.448,0.333,0.37,17,30,22,37,0.773,0.811,12,10,40,43,52,53,18,23,2,7,5,9,7,9,28,21,111,118,1
21201175,2013-04-11,OKC,GSW,1610612760,1610612744,42,37,83,84,0.506,0.44,0.444,0.438,20,16,23,26,0.87,0.615,10,7,36,32,46,39,30,16,10,10,10,3,18,16,21,19,116,97,0
21201165,2013-04-10,MIA,WAS,1610612748,1610612764,33,36,75,80,0.44,0.45,0.415,0.478,20,15,23,21,0.87,0.714,12,9,35,25,47,34,19,19,7,15,6,5,25,16,18,20,103,98,0
21201172,2013-04-10,SAS,DEN,1610612759,1610612743,35,39,87,86,0.402,0.453,0.19,0.4,12,12,17,21,0.706,0.571,12,16,31,37,43,53,24,26,10,8,6,9,15,17,17,16,86,96,1
21201170,2013-04-10,NOH,SAC,1610612740,1610612758,38,47,78,85,0.487,0.553,0.333,0.5,28,17,35,23,0.8,0.739,13,9,28,28,41,37,19,26,6,10,5,7,19,12,18,28,110,121,1
21201169,2013-04-10,PHX,DAL,1610612756,1610612742,37,34,89,85,0.416,0.4,0.444,0.353,16,17,17,21,0.941,0.81,12,14,36,36,48,50,25,21,7,6,11,8,10,13,17,17,102,91,0
21201171,2013-04-10,LAL,POR,1610612747,1610612757,43,38,73,85,0.589,0.447,0.316,0.462,21,18,24,20,0.875,0.9,6,9,33,22,39,31,19,24,7,10,9,0,15,11,17,24,113,106,0
21201167,2013-04-10,DET,CLE,1610612765,1610612739,40,40,80,82,0.5,0.488,0.25,0.2,27,21,42,26,0.643,0.808,5,13,28,36,33,49,20,21,6,3,1,8,5,13,20,28,111,104,0
21201166,2013-04-10,MIL,ORL,1610612749,1610612753,39,51,101,109,0.386,0.468,0.286,0.533,17,3,26,8,0.654,0.375,15,18,41,44,56,62,26,27,7,6,11,3,13,17,16,19,103,113,1
21201173,2013-04-10,MIN,LAC,1610612750,1610612746,35,44,90,77,0.389,0.571,0.261,0.524,19,12,22,16,0.864,0.75,13,10,25,38,38,48,23,34,12,8,4,11,11,20,14,19,95,111,1
21201168,2013-04-10,BKN,BOS,1610612751,1610612738,34,37,74,81,0.459,0.457,0.421,0.375,25,13,28,17,0.893,0.765,9,10,30,27,39,37,19,20,8,4,3,2,14,13,21,21,101,93,0
21201164,2013-04-10,ATL,PHI,1610612737,1610612755,49,37,91,88,0.538,0.42,0.364,0.333,18,20,19,22,0.947,0.909,9,12,35,29,44,41,34,21,8,5,2,0,10,15,17,17,124,101,0
21201159,2013-04-09,CHA,MEM,1610612766,1610612763,30,39,80,82,0.375,0.476,0.143,0.231,13,13,18,20,0.722,0.65,11,12,33,36,44,48,13,17,2,6,6,7,12,7,17,16,75,94,1
21201154,2013-04-09,CLE,IND,1610612739,1610612754,39,32,85,79,0.459,0.405,0.3,0.25,13,31,15,46,0.867,0.674,14,18,25,27,39,45,18,13,5,14,7,6,17,14,29,14,94,99,1
21201161,2013-04-09,OKC,UTA,1610612760,1610612762,32,31,81,79,0.395,0.392,0.429,0.28,17,11,18,14,0.944,0.786,10,6,36,37,46,43,18,22,12,6,7,8,11,17,19,19,90,80,0
21201157,2013-04-09,MIL,MIA,1610612749,1610612748,33,38,75,88,0.44,0.432,0.36,0.229,8,10,14,10,0.571,1.0,5,14,32,35,37,49,19,22,13,12,2,3,20,18,15,13,83,94,1
21201160,2013-04-09,PHX,HOU,1610612756,1610612745,38,37,86,86,0.442,0.43,0.583,0.2,15,21,19,24,0.789,0.875,11,15,30,29,41,44,24,19,9,11,5,5,19,18,20,16,98,101,1
21201155,2013-04-09,PHI,BKN,1610612755,1610612751,30,42,80,93,0.375,0.452,0.5,0.25,16,15,20,23,0.8,0.652,8,24,26,43,34,67,16,16,6,7,2,7,7,10,17,16,83,104,1
21201156,2013-04-09,WAS,NYK,1610612764,1610612752,35,45,77,80,0.455,0.563,0.4,0.556,21,10,30,14,0.7,0.714,11,5,27,34,38,39,18,26,6,7,2,3,13,13,14,24,99,120,1
21201158,2013-04-09,TOR,CHI,1610612761,1610612741,37,37,72,86,0.514,0.43,0.389,0.588,20,14,24,20,0.833,0.7,3,13,30,27,33,40,22,24,6,3,3,2,8,10,21,21,101,98,0
21201162,2013-04-09,NOH,LAL,1610612740,1610612747,37,40,84,79,0.44,0.506,0.25,0.28,17,17,18,22,0.944,0.773,8,9,28,33,36,42,23,26,7,9,4,8,16,16,24,16,96,104,1
21201163,2013-04-09,MIN,GSW,1610612750,1610612744,33,39,90,91,0.367,0.429,0.368,0.417,16,17,20,22,0.8,0.773,6,12,38,48,44,60,29,24,6,7,6,6,10,13,18,19,89,105,1
21201145,2013-04-07,NYK,OKC,1610612752,1610612760,46,45,93,78,0.495,0.577,0.441,0.529,18,21,24,25,0.75,0.84,19,10,22,27,41,37,22,23,5,5,4,11,6,13,19,22,125,120,0
21201149,2013-04-07,MEM,SAC,1610612763,1610612758,32,29,73,81,0.438,0.358,0.429,0.28,22,22,29,28,0.759,0.786,8,10,37,31,45,41,17,18,9,9,12,4,16,15,25,24,89,87,0
21201153,2013-04-07,DAL,POR,1610612742,1610612757,42,37,90,80,0.467,0.463,0.231,0.182,9,13,12,16,0.75,0.813,13,6,35,33,48,39,28,23,9,8,7,3,12,14,11,16,96,91,0
21201150,2013-04-07,CHI,DET,1610612741,1610612765,33,39,73,73,0.452,0.534,0.2,0.5,16,12,25,17,0.64,0.706,8,8,25,32,33,40,20,25,7,6,5,2,11,14,18,23,85,99,1
21201148,2013-04-07,ORL,CLE,1610612753,1610612739,34,32,90,89,0.378,0.36,0.077,0.412,16,20,22,24,0.727,0.833,19,17,34,35,53,52,21,24,9,7,7,8,14,14,17,18,85,91,1
21201146,2013-04-07,LAL,LAC,1610612747,1610612746,33,42,76,84,0.434,0.5,0.292,0.381,22,17,30,21,0.733,0.81,10,16,26,34,36,50,25,26,6,6,5,1,11,10,14,22,95,109,1
21201147,2013-04-07,WAS,BOS,1610612764,1610612738,39,43,88,77,0.443,0.558,0.385,0.364,8,17,12,21,0.667,0.81,12,6,24,32,36,38,23,26,8,11,6,2,17,17,17,19,96,107,1
21201152,2013-04-07,NOH,PHX,1610612740,1610612756,32,34,80,80,0.4,0.425,0.267,0.333,27,17,29,19,0.931,0.895,15,9,33,29,48,38,19,20,7,8,6,4,16,16,25,24,95,92,0
21201151,2013-04-07,UTA,GSW,1610612762,1610612744,40,35,88,74,0.455,0.473,0.44,0.412,6,13,7,18,0.857,0.722,13,8,29,33,42,41,29,21,10,5,6,2,13,17,14,15,97,90,0
21201138,2013-04-06,IND,WAS,1610612754,1610612764,35,39,86,79,0.407,0.494,0.15,0.333,12,22,15,31,0.8,0.71,10,6,37,35,47,41,17,19,2,10,1,7,15,9,21,22,85,104,1
21201141,2013-04-06,DET,MIN,1610612765,1610612750,40,36,75,83,0.533,0.434,0.4,0.429,15,29,21,38,0.714,0.763,11,15,30,23,41,38,22,23,10,16,6,6,24,15,25,20,101,107,1
21201144,2013-04-06,HOU,DEN,1610612745,1610612743,39,54,83,99,0.47,0.545,0.412,0.44,22,13,32,21,0.688,0.619,11,13,30,33,41,46,30,40,5,12,10,4,19,11,22,26,114,132,1
21201142,2013-04-06,TOR,MIL,1610612761,1610612749,30,36,83,76,0.361,0.474,0.3,0.316,20,22,23,29,0.87,0.759,8,9,27,31,35,40,18,27,9,11,4,12,18,15,21,22,83,100,1
21201140,2013-04-06,PHI,MIA,1610612755,1610612748,33,40,82,83,0.402,0.482,0.3,0.56,15,12,20,14,0.75,0.857,12,11,29,37,41,48,12,25,6,5,2,3,11,11,14,16,87,106,1
21201139,2013-04-06,CHA,BKN,1610612766,1610612751,36,39,80,80,0.45,0.488,0.333,0.238,17,22,23,30,0.739,0.733,13,11,30,29,43,40,18,17,4,8,6,7,16,9,24,17,96,105,1
21201143,2013-04-06,ATL,SAS,1610612737,1610612759,35,36,83,80,0.422,0.45,0.417,0.2,22,24,25,29,0.88,0.828,9,9,29,40,38,49,23,24,10,5,2,12,13,15,23,21,97,99,1
21201126,2013-04-05,MIA,CHA,1610612748,1610612766,31,28,69,88,0.449,0.318,0.394,0.188,14,20,17,22,0.824,0.909,11,23,30,23,41,46,26,13,6,11,8,4,21,13,17,11,89,79,0
21201132,2013-04-05,TOR,MIN,1610612761,1610612750,40,30,85,67,0.471,0.448,0.267,0.2,11,30,16,40,0.688,0.75,11,7,29,33,40,40,18,23,6,9,6,3,14,14,26,17,95,93,0
21201135,2013-04-05,DAL,SAC,1610612742,1610612758,46,39,90,87,0.511,0.448,0.3,0.231,19,24,19,31,1.0,0.774,9,12,34,33,43,45,30,20,7,5,4,1,9,12,20,16,117,108,0
21201129,2013-04-05,PHI,ATL,1610612755,1610612737,37,34,80,73,0.463,0.466,0.563,0.294,18,17,24,27,0.75,0.63,11,6,37,35,48,41,24,23,8,5,4,4,12,13,19,19,101,90,0
21201130,2013-04-05,OKC,IND,1610612760,1610612754,37,27,78,72,0.474,0.375,0.333,0.095,19,19,23,24,0.826,0.792,15,9,38,22,53,31,18,13,4,6,4,3,13,11,21,19,97,75,0
21201133,2013-04-05,NOH,UTA,1610612740,1610612762,32,39,77,77,0.416,0.506,0.167,0.423,17,6,20,11,0.85,0.545,13,9,27,26,40,35,13,28,7,10,5,8,17,16,20,25,83,95,1
21201136,2013-04-05,HOU,POR,1610612745,1610612757,39,38,76,91,0.513,0.418,0.429,0.1,26,20,35,24,0.743,0.833,10,14,34,30,44,44,24,23,8,8,4,2,14,13,18,21,116,98,0
21201127,2013-04-05,CLE,BOS,1610612739,1610612738,36,36,89,89,0.404,0.404,0.231,0.273,22,13,26,22,0.846,0.591,15,10,43,32,58,42,16,23,5,7,7,7,16,12,20,24,97,91,0
21201134,2013-04-05,GSW,PHX,1610612744,1610612756,44,44,86,72,0.512,0.611,0.563,0.357,14,14,16,17,0.875,0.824,12,7,18,29,30,36,26,19,15,6,1,5,14,22,21,17,111,107,0
